city,population,homicides,homicide_rate,violent,violent_rate,property,property_rate
Boston,654281,36,5.5,3885,593.8,11614,1775.1
Chicago,2696561,803,29.8,18732,694.7,30262,1122.2
Philadelphia,1576251,455,28.9,12173,772.3,40086,2543.1
Houston,2313238,464,20.1,28325,1224.5,96048,4152.1
Washington,670050,109,16.3,2461,367.3,11316,1688.8
Los Angeles,3849306,397,10.3,30078,781.4,90090,2340.4
San Francisco,815201,56,6.9,4912,602.6,44773,5492.3
Atlanta,496480,159,32.0,4609,928.3,19154,3858.0
Austin,964000,79,8.2,4996,518.3,33989,3525.8
Seattle,733904,41,5.6,5869,799.7,40192,5476.5
Detroit,632589,303,47.9,14509,2293.6,22607,3573.7
New York,8804190,488,5.5,24814,281.8,77927,885.1
